CO_NCM;CO_UNID;CO_SH6;CO_PPE;CO_PPI;CO_FAT_AGREG;CO_CUCI_ITEM;CO_CGCE_N3;CO_SIIT;CO_ISIC_CLASSE;CO_EXP_SUBSET;NO_NCM_POR;NO_NCM_ESP;NO_NCM_ING
38085910;10;380859;3293;3293;03;5919;322;2000;2021;1499;Outras mercadorias mencionadas na Nota de subposicoes 1 do presente Capitulo, apresentadas em formas ou embalagens exclusivamente para uso direto em aplicacoes domissanitarias;Otros productos mencionados en  la nota de subpartida 1 deste Capitulo, presentados en formas o envases exclusivamente para su uso directo en aplicaciones sanitarias;Other commodities mentioned in Note of subheading 1 of htis Chapter, presented in forms or packings exclusively for direct use in sanitary applications
38085921;10;380859;3293;3293;03;5919;240;2000;2021;1499;Mercadorias a base de metamidofos (ISO) ou monocrotofos (ISO), apresentadas de outro modo;Productos basados en metamidofos (ISO) o monocrotofos (ISO), presentados de otro modo;Commodities based on methamidophos (ISO) or monocrotophos (ISO), presented otherwise
38085922;10;380859;3293;3293;03;5919;240;2000;2021;1499;Mercadorias a base de endossulfan (ISO), apresentadas de outro modo;Productos sobre la base de endosulfan (ISO), presentados de otro modo;Commodities based on endosulfan (ISO), presented otherwise
38085923;10;380859;3293;3293;03;5919;322;2000;2021;1499;Mercadorias a base de alaclor (ISO), apresentadas de outro modo;Productos sobre la base de alaclor (ISO), presentados de otro modo;Commodities based on alachlor (ISO), presented otherwise
38085929;10;380859;3293;3293;03;5919;240;2000;2021;1499;Mercadorias a base de outras substancias, apresentadas de outro modo;Las mercancias sobre la base de otras sustancias, presentados de otro modo;Commodities based on other substances, presented otherwise
38249914;10;382499;3990;3639;03;59899;240;2000;2029;1499;Senduramicina sodica, da fabricacao da senduramicina;Senduramicina de sodio, de la fabricacion de senduramicina;Sodium senduramicina, from the manufacturing process of senduramicina
38249915;10;382499;3990;3639;03;59899;240;2000;2029;1499;Maduramicina amonica, em solucao alcoolica, da fabricacao da maduramicina;Maduramicina de amonio, en solucion alcoholica, de la fabricacion de maduramicina;Maduramicin ammonium in alcoholic solution, from the manufacture of maduramicin
38249919;10;382499;3990;3639;03;59899;240;2000;2029;1499;Outros produtos intermediarios da fabricacao de antibioticos ou de vitaminas ou de outros produtos da posicao 29.36;Otros productos intermedios de la fabricacion de antibioticos o vitaminas u otros productos de la Partida 29.36,;Other intermediate products for the manufacture of antibiotics or of vitamins or other products of Heading 29.36
38249921;10;382499;3990;3639;03;59899;240;2000;2029;1499;acidos graxos dimerizados; preparacoes contendo acidos graxos dimerizados;acidos grasos dimerizados; preparaciones que contienen acidos grasos dimerizados;Dimerized fatty acids; preparations containing dimerized fatty acids
38249922;10;382499;3990;3639;03;59899;240;2000;2029;1499;Preparacoes contendo estearoilbenzoilmetano e palmitoilbenzoilmetano; preparacoes contendo caprilato e caprato de propilenoglicol;Las preparaciones que contienen estearoilbenzoilmetano y palmitoilbenzoilmetano; preparations que contienen caprilato y caprato de propilenoglicol;Preparations containing stearoyl benzoyl methane and palmitoyl benzoylmethane; preparations containing caprylate and caprate of propylene glycol
